rank,category,severity,related_record_ids,summary,recommended_action,confidence
1,inactive_employee,High,tmc_bookings:B1007;flight_segments:F1013;flight_segments:F1014;hotel_stays:H1007;obt_searches:S4007;card_transactions:C2018;expense_reports:X3017;expense_reports:X3018,Travel-related records are linked to inactive employee E1008.,"Confirm employment status, travel authorization, and whether charges should be reassigned or investigated.",0.95
2,possible_duplicate_expense,High,card_transactions:C2001;expense_reports:X3001,"Card transaction and expense line have similar merchant, date, and amount $875.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
3,possible_duplicate_expense,High,card_transactions:C2002;expense_reports:X3002,"Card transaction and expense line have similar merchant, date, and amount $1680.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
4,possible_duplicate_expense,High,card_transactions:C2003;expense_reports:X3003,"Card transaction and expense line have similar merchant, date, and amount $62.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
5,possible_duplicate_expense,High,card_transactions:C2004;expense_reports:X3004,"Card transaction and expense line have similar merchant, date, and amount $735.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
6,possible_duplicate_expense,High,card_transactions:C2005;expense_reports:X3005,"Card transaction and expense line have similar merchant, date, and amount $840.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
7,possible_duplicate_expense,High,card_transactions:C2006;expense_reports:X3006,"Card transaction and expense line have similar merchant, date, and amount $86.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
8,possible_duplicate_expense,High,card_transactions:C2007;expense_reports:X3007,"Card transaction and expense line have similar merchant, date, and amount $330.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
9,possible_duplicate_expense,High,card_transactions:C2008;expense_reports:X3008,"Card transaction and expense line have similar merchant, date, and amount $510.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
10,possible_duplicate_expense,High,card_transactions:C2008;expense_reports:X3009,"Card transaction and expense line have similar merchant, date, and amount $510.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
11,possible_duplicate_expense,High,card_transactions:C2009;expense_reports:X3010,"Card transaction and expense line have similar merchant, date, and amount $900.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
12,possible_duplicate_expense,High,card_transactions:C2010;expense_reports:X3011,"Card transaction and expense line have similar merchant, date, and amount $1510.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
13,possible_duplicate_expense,High,card_transactions:C2012;expense_reports:X3012,"Card transaction and expense line have similar merchant, date, and amount $1410.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
14,possible_duplicate_expense,High,card_transactions:C2013;expense_reports:X3013,"Card transaction and expense line have similar merchant, date, and amount $1197.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
15,possible_duplicate_expense,High,card_transactions:C2014;expense_reports:X3014,"Card transaction and expense line have similar merchant, date, and amount $565.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
16,possible_duplicate_expense,High,card_transactions:C2015;expense_reports:X3015,"Card transaction and expense line have similar merchant, date, and amount $1673.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
17,possible_duplicate_expense,High,card_transactions:C2016;expense_reports:X3016,"Card transaction and expense line have similar merchant, date, and amount $95.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
18,possible_duplicate_expense,High,card_transactions:C2017;expense_reports:X3017,"Card transaction and expense line have similar merchant, date, and amount $1190.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
19,possible_duplicate_expense,High,card_transactions:C2018;expense_reports:X3018,"Card transaction and expense line have similar merchant, date, and amount $1619.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
20,possible_duplicate_expense,High,card_transactions:C2019;expense_reports:X3019,"Card transaction and expense line have similar merchant, date, and amount $620.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
21,possible_duplicate_expense,High,card_transactions:C2020;expense_reports:X3020,"Card transaction and expense line have similar merchant, date, and amount $2240.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
22,possible_duplicate_expense,High,card_transactions:C2021;expense_reports:X3021,"Card transaction and expense line have similar merchant, date, and amount $1780.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
23,possible_duplicate_expense,High,card_transactions:C2022;expense_reports:X3022,"Card transaction and expense line have similar merchant, date, and amount $1414.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
24,possible_duplicate_expense,High,card_transactions:C2023;expense_reports:X3023,"Card transaction and expense line have similar merchant, date, and amount $310.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
25,possible_duplicate_expense,High,card_transactions:C2024;expense_reports:X3024,"Card transaction and expense line have similar merchant, date, and amount $48.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
26,possible_duplicate_expense,High,card_transactions:C2025;expense_reports:X3025,"Card transaction and expense line have similar merchant, date, and amount $420.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
27,possible_duplicate_expense,High,card_transactions:C2026;expense_reports:X3026,"Card transaction and expense line have similar merchant, date, and amount $702.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
28,possible_duplicate_expense,High,card_transactions:C2027;expense_reports:X3027,"Card transaction and expense line have similar merchant, date, and amount $240.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
29,possible_duplicate_expense,High,card_transactions:C2028;expense_reports:X3028,"Card transaction and expense line have similar merchant, date, and amount $410.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
30,possible_duplicate_expense,High,card_transactions:C2029;expense_reports:X3029,"Card transaction and expense line have similar merchant, date, and amount $420.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
31,possible_duplicate_expense,High,card_transactions:C2030;expense_reports:X3030,"Card transaction and expense line have similar merchant, date, and amount $718.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
32,possible_duplicate_expense,High,card_transactions:C2033;expense_reports:X3031,"Card transaction and expense line have similar merchant, date, and amount $2300.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
33,possible_duplicate_expense,High,card_transactions:C2034;expense_reports:X3032,"Card transaction and expense line have similar merchant, date, and amount $2912.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
34,possible_duplicate_expense,High,card_transactions:C2035;expense_reports:X3033,"Card transaction and expense line have similar merchant, date, and amount $840.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
35,possible_duplicate_expense,High,card_transactions:C2036;expense_reports:X3034,"Card transaction and expense line have similar merchant, date, and amount $1355.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
36,possible_duplicate_expense,High,card_transactions:C2037;expense_reports:X3035,"Card transaction and expense line have similar merchant, date, and amount $350.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
37,possible_duplicate_expense,High,card_transactions:C2038;expense_reports:X3036,"Card transaction and expense line have similar merchant, date, and amount $480.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
